Phrase	Translation	Notes
laufen	biegać	vi
Angst haben	bać się
nehmen	brać	vt
sein	być	vi
sehen	widzieć	vi, vt
besitzen	posiadać	vt
einwenden	sprzeciwiać się; zaprzeczać	vt
hereinkommen	wchodzić do środka	vi
wählen	wybierać	vt
ausgehen	wychodzić	vi
sprechen	mówić	vi
zubereiten	przygotowywać	vt
geben	dawać	vt
machen	robić	vt
vertrauen	zaufać	vi
denken	myśleć	vi, vt
klagen	narzekać	vi
warten	czekać	vi
vergessen	zapominać	vt
frühstücken	jeść śniadanie	vi
bestellen	zamawiać	vt
beenden	zakończyć	vt
bemerken	zauważyć	vt
aufschreiben	zapisywać	vt
verteidigen	bronić	vt
rufen	wołać; krzyczeć	vi
kennen	znać	vt
wissen	wiedzieć	vt
