Phrase	Translation	Notes
अख़बार	gazeta	m
आदमी	mężczyzna; człowiek	m
और	i; a
औरत	kobieta	ż
कम्प्यूटर	komputer	m
क़लम	długopis; pióro	ż
कापी	zeszyt	ż
काला	czarny
किताब	książka	ż
कुर्सी	krzesło	ż
कैसा	jaki? jakiego rodzaju?
कौन	kto?
क्या	co? jaki? czy?
खिड़की	okno	ż
गुलाबी	różowy
चश्मा	okulary	m
चीज़	rzecz; przedmiot	ż
छत	sufit; dach	ż
छतरी	parasol	ż
छात्र	student	m
छात्रा	studentka	ż
जी नहीं	nie	uprzejma forma odpowiedzi przeczącej
जी हाँ	tak	uprzejma forma odpowiedzi twierdzącej
तस्वीर	obraz; portret	ż
दरवाज़ा	drzwi	m
दीवार	ściana	ż
दुकान	sklep; sklepik	ż
धूसर	szary
नक्शा	mapa; plan; wykres	m
नहीं	nie
नीला	niebieski
नोटबुक	zeszyt; notes	ż
पत्रिका	czasopismo	ż
पलंग	łóżko	m
पहला	pierwszy
पाठ	lekcja	m
पीला	żółty
पुस्तक	książka	ż
फूल	kwiat	m
फूलदान	wazon	m
पेन्सिल	ołówek	ż
फ़र्श	podłoga	m
भी	także; też; nawet
भूरा	brązowy
मंदिर	świątynia hinduistyczna	m
मकान	budynek; dom	m
मस्जिद	meczet; świątynia islamska	ż
मेज़	stół	ż
यह	to; ten
या	albo; lub
यानी	to jest; to znaczy
लड़का	chłopak	m
लड़की	dziewczyna	ż
लाल	czerwony
लेखनी	pióro; długopis; pędzelek	ż
वह	tamto; tamten
सफ़ेद	biały
हरा	zielony
