Phrase	Transcription	Translation	Notes
فِنْجَانٌ	finjān	filiżanka
سُكَّرٌ	sukkar	cukier
سُكَّرِيَّةٌ	sukkariyya	cukierniczka
قَهْوَةٌ	qahwa	kawa
شَاىٌ	šāy	herbata
بِالسُّكَّرِ	bi-s-sukkar	z cukrem
مَاذَا	māḏā	co?
مَاذَا تَفْعَلُ	māḏā tafʿal	co robisz?
لاَ يَفْعَلُ	lā yafʿal	nie robi
هَلْ تَفْعَلُ	hal tafʿal	czy ty robisz? czy ty będziesz robić?
هُوَ يَفْعَلُ	huwa yafʿal	on robi
هِىَ تَفْعَلُ	hiya tafʿal	ona robi
اَنْتَ تَفْعَلُ	anta tafʿal	ty robisz
اَنْتِ تَفْعَلِينَ	anti tafʿalīna	ty robisz	r.ż.
اَنَا اَفْعَلُ	ana afʿal	ja robię
