Phrase	Translation	Notes
цвет	kolor
оттенок	odcień
тон	ton
радуга	tęcza
белый	biały
чёрный	czarny
серый	szary
зелёный	zielony
жёлтый	żółty
красный	czerwony
синий	ciemny niebieski
голубой	niebieski
розовый	różowy
оранжевый	pomarańczowy
фиолетовый	fioletowy
коричневый	brązowy
золотой	złoty
серебристый	srebrzysty
бежевый	beżowy
кремовый	kremowy
бирюзовый	turkusowy
вишнёвый	wiśniowy
лиловый	liliowy
малиновый	malinowy
светлый	jasny
тёмный	ciemny
яркий	jasny
цветной	kolorowy
чёрно-белый	czarno-biały
одноцветный	jednokolorowy
разноцветный	różnokolorowy
