Phrase	Translation	Notes
падать	spadać
переводить	tłumaczyć
писать	pisać
плавать	pływać
плакать	płakać
планировать	planować
платить	płacić
поворачивать	skręcać
повторять	powtarzać
подписывать	podpisywać
подсказать	czynić aluzje
показывать	pokazywać
помогать	pomagać
понимать	rozumieć
предвидеть	przewidzieć
предлагать	proponować
предпочитать	woleć
предупреждать	ostrzegać
прекращать	przestawać
приглашать	zapraszać
приезжать	przyjeżdżać
приказывать	rozkazywać
принадлежать	należeć
пробовать	próbować
продавать	sprzedawać
продолжать	kontynuować
произносить	wymawiać
пропускать	opuszczać
просить	prosić
прощать	przebaczać
прятать	chować
путать	mylić
работать	pracować
разрешать	zezwalać
рассчитывать на	liczyć na
резервировать	rezerwować
рекомендовать	polecać
ронять	upuszczać
ругать	besztać
руководить	kierować	чем-л.
рыть	kopać
