Phrase	Translation	Notes
cero	zero
uno	jeden
dos	dwa
tres	trzy
cuatro	cztery
cinco	pięć
seis	sześć
siete	siedem
ocho	osiem
nueve	dziewięć
diez	dziesięć
once	jedenaście
doce	dwanaście
trece	trzynaście
catorce	czternaście
quince	piętnaście
dieciséis	szesnaście
diecisiete	siedemnaście
dieciocho	osiemnaście
diecinueve	dziewiętnaście
veinte	dwadzieścia
veintiuno	dwadzieścia jeden
veintidós	dwadzieścia dwa
veintitrés	dwadzieścia trzy
treinta	trzydzieści
treinta y uno	trzydzieści jeden
treinta y dos	trzydzieści dwa
treinta y tres	trzydzieści trzy
cuarenta	czterdzieści
cuarenta y uno	czterdzieści jeden
cuarenta y dos	czterdzieści dwa
cuarenta y tres	czterdzieści trzy
cincuenta	pięćdziesiąt
cincuenta y uno	pięćdziesiąt jeden
cincuenta y dos	pięćdziesiąt dwa
cincuenta y tres	pięćdziesiąt trzy
sesenta	sześćdziesiąt
sesenta y uno	sześćdziesiąt jeden
sesenta y dos	sześćdziesiąt dwa
sesenta y tres	sześćdziesiąt trzy
setenta	siedemdziesiąt
setenta y uno	siedemdziesiąt jeden
setenta y dos	siedemdziesiąt dwa
setenta y tres	siedemdziesiąt trzy
ochenta	osiemdziesiąt
ochenta y uno	osiemdziesiąt jeden
ochenta y dos	osiemdziesiąt dwa
ochenta y tres	osiemdziesiąt trzy
noventa	dziewięćdziesiąt
noventa y uno	dziewięćdziesiąt jeden
noventa y dos	dziewięćdziesiąt dwa
noventa y tres	dziewięćdziesiąt trzy
