Phrase	Translation	Notes
Почему?	Dlaczego?
почему-то	z jakiegoś powodu
потому, что …	dlatego, że …
зачем-то	po coś
и	i
или	albo
но	ale
для	dla
слишком	zbyt
только	tylko
точно	dokładnie
около	około
приблизительно	w przybliżeniu
приблизительный	przybliżony
почти	prawie
остальное	reszta
каждый	każdy
любой	jakikolwiek
много	dużo
многие	wiele
все	wszystkie
в обмен на …	w zamian za …
взамен	zamiast
вручную	ręcznie
вряд ли	ledwo; prawie
наверное	prawdopodobnie
нарочно	celowo
случайно	przypadkiem
очень	bardzo
например	na przykład
между	między
среди	wśród
столько	aż tyle
особенно	szczególnie
