Phrase	Translation	Notes
зубная паста	pasta do zębów
зубная щётка	szczoteczka do zębów
чистить зубы	myć zęby
бритва	maszynka do golenia
крем для бритья	krem do golenia
бриться	golić się
мыло	mydło
шампунь	szampon
ножницы	nożyczki
пилочка для ногтей	pilnik do paznokci
щипчики для ногтей	cążki do paznokci
пинцет	pinceta
косметика	kosmetyki
маска (косметич.)	maseczka (kosm.)
маникюр	manikiur
делать маникюр	robić manikiur
педикюр	pedikiur
косметичка	kosmetyczka
пудра	puder
пудреница	puderniczka
румяна	róż
духи	perfumy
туалетная вода	woda toaletowa
лосьон	płyn kosmetyczny
одеколон	woda kolońska
тени для век	cienie do powiek
карандаш для глаз	kredka do oczu
тушь для ресниц	tusz do rzęs
губная помада	szminka
лак для ногтей	lakier do paznokci
лак для волос	lakier do włosów
дезодорант	dezodorant
крем	krem
крем для лица	krem do twarzy
крем для рук	krem do rąk
дневной	na dzień
ночной	nocny
тампон	tampon
туалетная бумага	papier toaletowy
фен	suszarka do włosów
