Phrase	Translation	Notes
садиться	siadać
сказать	powiedzieć
следовать за	podążać za
слышать	słyszeć
смеяться	śmiać się
снимать	wynajmować
советовать	radzić
соглашаться	zgadzać się
сожалеть	żałować
создать	stworzyć
сомневаться	wątpić
сохранять	zachowywać
спасать	ratować
спрашивать	pytać
спускаться	schodzić
сравнивать	porównywać
стоить	kosztować
стрелять	strzelać
существовать	istnieć
считать	liczyć
торопиться	śpieszyć się
требовать	zażądać
требоваться	być potrzebnym
трогать	dotykać
убивать	zabijać
угрожать	grozić
удивляться	dziwić się
ужинать	jeść kolację
украшать	ozdabiać
улыбаться	uśmiechać się
упоминать	wspominać
участвовать	uczestniczyć
хвастаться	chwalić się
хотеть	chcieć
хотеть есть	chcieć jeść
хотеть пить	chcieć pić
читать	czytać
шутить	żartować
