Phrase	Translation	Notes
null	zero
eins	jeden
zwei	dwa
drei	trzy
vier	cztery
fünf	pięć
sechs	sześć
sieben	siedem
acht	osiem
neun	dziewięć
zehn	dziesięć
elf	jedenaście
zwölf	dwanaście
dreizehn	trzynaście
vierzehn	czternaście
fünfzehn	piętnaście
sechzehn	szesnaście
siebzehn	siedemnaście
achtzehn	osiemnaście
neunzehn	dziewiętnaście
zwanzig	dwadzieścia
einundzwanzig	dwadzieścia jeden
zweiundzwanzig	dwadzieścia dwa
dreiundzwanzig	dwadzieścia trzy
dreißig	trzydzieści
einunddreißig	trzydzieści jeden
zweiunddreißig	trzydzieści dwa
dreiunddreißig	trzydzieści trzy
vierzig	czterdzieści
einundvierzig	czterdzieści jeden
zweiundvierzig	czterdzieści dwa
dreiundvierzig	czterdzieści trzy
fünfzig	pięćdziesiąt
einundfünfzig	pięćdziesiąt jeden
zweiundfünfzig	pięćdziesiąt dwa
dreiundfünfzig	pięćdziesiąt trzy
sechzig	sześćdziesiąt
einundsechzig	sześćdziesiąt jeden
zweiundsechzig	sześćdziesiąt dwa
dreiundsechzig	sześćdziesiąt trzy
siebzig	siedemdziesiąt
einundsiebzig	siedemdziesiąt jeden
zweiundsiebzig	siedemdziesiąt dwa
dreiundsiebzig	siedemdziesiąt trzy
achtzig	osiemdziesiąt
einundachtzig	osiemdziesiąt jeden
zweiundachtzig	osiemdziesiąt dwa
dreiundachtzig	osiemdziesiąt trzy
neunzig	dziewięćdziesiąt
einundneunzig	dziewięćdziesiąt jeden
zweiundneunzig	dziewięćdziesiąt dwa
dreiundneunzig	dziewięćdziesiąt trzy
