Phrase	Translation	Notes
богатый	bogaty
бедный	biedny
больной	chory
здоровый	zdrowy
большой	duży
маленький	mały
быстро	szybko
медленно	wolno
быстрый	szybki
медленный	powolny
весёлый	wesoły
грустный	smutny
вместе	razem
отдельно	oddzielnie
вслух	na głos
про себя	po cichu
высокий	wysoki
низкий	niski
глубокий	głęboki
мелкий	płytki
да	tak
нет	nie
далёкий	daleki
близкий	bliski
далеко	daleko
рядом	obok
длинный	długi
короткий	krótki
добрый	dobry
злой	zły
женатый	żonaty
холостой	nieżonaty
запретить	zakazać
разрешить	zezwolić
конец	koniec
начало	początek
левый	lewy
правый	prawy
первый	pierwszy
последний	ostatni
преступление	przestępstwo
наказание	kara
приказать	rozkazać
подчиниться	podporządkować się
прямой	prosty
кривой	krzywy
рай	raj
ад	piekło
родиться	urodzić się
умереть	umrzeć
сильный	silny
слабый	słaby
старый	stary
молодой	młody
старый	stary
новый	nowy
твёрдый	twardy
мягкий	miękki
тёплый	ciepły
холодный	zimny
толстый	gruby
худой	szczupły
узкий	wąski
широкий	szeroki
хороший	dobry
плохой	zły
храбрый	mężny
трусливый	tchórzliwy
