Phrase	Transcription	Translation	Notes
//STSC Threshold/入门第十二课
支[支]	zhi1	(a measure word); to support; to sustain; to erect; to raise; branch; division; to draw money
红[紅]	hong2	bonus; popular; red; revolutionary
还是[還是]	hai2 shi5	or; still; nevertheless
蓝[藍]	lan2	blue
样[樣]	yang4	kind; manner; pattern; way; appearance; shape
别的[別的]	bie2de5	else; other
了[了]	le5	(modal particle intensifying preceding clause); (completed action marker)
卖[賣]	mai4	to sell
再[再]	zai4	again; once more; re-; second; another
听[聽]	ting1	(a measure word) tin, can
一共[一共]	yi2gong4	altogether
给[給]	gei3	to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle)
零钱[零錢]	ling2qian2	change (said of money)
找钱[找錢]	zhao3qian2	to give change
零[零]	ling2	remnant; zero
数[數]	shu3	to count
橘子[橘子]	ju2zi5	orange
斤[斤]	jin1	catty; weight equal to 0.5 kg
东西[東西]	dong1xi5	thing; person
甜[甜]	tian2	sweet
尝[嚐]	chang2	to taste
西红柿[西紅柿]	xi1hong2shi4	tomato
怎么[怎麼]	zen3me5	how?; what?; why?
新鲜[新鮮]	xin1xian1	fresh (experience, food, etc.); freshness
摘[摘]	zhai1	to borrow; to pick (flowers, fruit); to pluck; to take; to select
酸[酸]	suan1	sour; sore; ache; acid
辆[輛]	liang4	(a measure word for vehicles)
自行车[自行車]	zi4xing2che1	bicycle
铅笔[鉛筆]	qian1bi3	(lead) pencil
苹果[蘋果]	ping2guo3	apple
凉[涼]	liang2	cool; cold
热[熱]	re4	heat; to heat up; fervent; hot (of weather); warm up
短[短]	duan3	lack; short
圆珠笔[圓珠筆]	yuan2zhu1bi3	ball point pen
