Phrase	Translation	Notes
январь	styczeń
февраль	luty
март	marzec
апрель	kwiecień
май	maj
июнь	czerwiec
июль	lipiec
август	sierpień
сентябрь	wrzesień
октябрь	październik
ноябрь	listopad
декабрь	grudzień
весна	wiosna
весной	wiosną
весенний	wiosenny
лето	lato
летом	latem
летний	letni
осень	jesień
осенью	jesienią
осенний	jesienny
зима	zima
зимой	zimą
зимний	zimowy
месяц	miesiąc
в этом месяце	w tym miesiącu
в следующем месяце	w przyszłym miesiącu
в прошлом месяце	w zeszłym miesiącu
месяц назад	miesiąc temu
через месяц	za miesiąc
через 2 месяца	za dwa miesiące
весь месяц	przez cały miesiąc
целый месяц	cały miesiąc
ежемесячный	comiesięczny
ежемесячно	comiesięcznie
каждый месяц	co miesiąc
2 раза в месяц	dwa razy w miesiącu
год	rok
в этом году	w tym roku
в следующем году	w przyszłym roku
в прошлом году	w zeszłym roku
год назад	rok temu
через год	za rok
через 2 года	za dwa lata
весь год	cały rok
целый год	cały rok
каждый год	co roku
ежегодный	coroczny
ежегодно	corocznie
4 раза в год	cztery razy w roku
число	data; dzień miesiąca
дата	data
календарь	kalendarz
полгода	pół roku
полугодие	półrocze
сезон	sezon
век	wiek
