Phrase	Translation	Notes
вес	ciężar
длина	długość
ширина	szerokość
высота	wysokość
глубина	głębokość
объём	objętość
площадь	powierzchnia
грамм	gram
миллиграмм	miligram
килограмм	kilogram
тонна	tona
фунт	funt
унция	uncja
метр	metr
миллиметр	milimetr
сантиметр	centymetr
километр	kilometr
миля	mila
дюйм	cal
фут	stopa
ярд	jard
квадратный метр	metr kwadratowy
гектар	hektar
литр	litr
градус	stopień
вольт	wolt
ампер	amper
лошадиная сила	koń mechaniczny
количество	ilość
немного …	niedużo …
половина	połowa
дюжина	tuzin
штука	sztuka
размер	rozmiar
масштаб	skala
минимальный	minimalny
наименьший	najmniejszy
средний	średni
максимальный	maksymalny
наибольший	największy
