Phrase	Translation	Notes
¡Hola!	Cześć!
¡Buenos días!	Dzień dobry!
¡Buenas tardes!	Dzień dobry!
¡Buenas noches!	Dobry wieczór!
decir hola	pozdrawiać
saludo	pozdrowienie
saludar	witać
¿Cómo estás?	Jak się masz?
¿Qué hay de nuevo?	Co nowego?
¡Adiós!	Do widzenia!
¡Hasta la vista!	Do zobaczenia!
¡Hasta pronto!	Na razie!
¡Adiós!	Żegnaj! Żegnajcie!
despedirse	pożegnać się
¡Hasta luego!	Cześć! Do zobaczenia!
¡Gracias!	Dziękuję!
¡Muchas gracias!	Dziękuję bardzo!
De nada	Proszę, nie ma za co
No hay de qué	Nie ma za co
¡Perdóname!	Wybacz mi!
¡Perdóneme!	Proszę mi wybaczyć!
disculpar	wybaczać
disculparse	przepraszać
Mis disculpas	Proszę o wybaczenie!
perdonar	wybaczać
¡No pasa nada!	Nic się nie stało!
por favor	proszę
¡No se le olvide!	Proszę nie zapomnieć!
¡Desde luego!	Oczywiście!
¡Claro que no!	Oczywiście, że nie!
¡De acuerdo!	Zgoda!
¡Basta!	Dosyć!
